route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::e0a06da9-7515-46e3-a790-975f9883185c:,001303,OCESN453709R1187_R:CTE:FR:Line::e0a06da9-7515-46e3-a790-975f9883185c::87581009:87582775:11:1112:20260320,453709,0,8823,
FR:Line::e0a06da9-7515-46e3-a790-975f9883185c:,002581,OCESN453711R1187_R:CTE:FR:Line::e0a06da9-7515-46e3-a790-975f9883185c::87581009:87582775:11:1102:20260525,453711,0,8824,
FR:Line::e0a06da9-7515-46e3-a790-975f9883185c:,002582,OCESN453712R1187_R:CTE:FR:Line::e0a06da9-7515-46e3-a790-975f9883185c::87582775:87581009:11:940:20260525,453712,1,8825,
FR:Line::e0a06da9-7515-46e3-a790-975f9883185c:,002583,OCESN453717R1187_R:CTE:FR:Line::e0a06da9-7515-46e3-a790-975f9883185c::87581009:87582775:11:1342:20260525,453717,0,8826,
FR:Line::e0a06da9-7515-46e3-a790-975f9883185c:,002584,OCESN453718R1187_R:CTE:FR:Line::e0a06da9-7515-46e3-a790-975f9883185c::87582775:87581009:11:1241:20260516,453718,1,8827,
FR:Line::e0a06da9-7515-46e3-a790-975f9883185c:,001303,OCESN453720R1187_R:CTE:FR:Line::e0a06da9-7515-46e3-a790-975f9883185c::87582775:87581009:11:1356:20260320,453720,1,8828,
FR:Line::e0a06da9-7515-46e3-a790-975f9883185c:,002585,OCESN453721R1187_R:CTE:FR:Line::e0a06da9-7515-46e3-a790-975f9883185c::87581009:87582775:11:1627:20260523,453721,0,8829,
FR:Line::e0a06da9-7515-46e3-a790-975f9883185c:,002586,OCESN453728R1187_R:CTE:FR:Line::e0a06da9-7515-46e3-a790-975f9883185c::87582775:87581009:11:1726:20260524,453728,1,8830,
FR:Line::e0a06da9-7515-46e3-a790-975f9883185c:,002587,OCESN453733R1187_R:CTE:FR:Line::e0a06da9-7515-46e3-a790-975f9883185c::87581009:87582775:11:2057:20260513,453733,0,8831,
FR:Line::e0a06da9-7515-46e3-a790-975f9883185c:,002585,OCESN453746R1187_R:CTE:FR:Line::e0a06da9-7515-46e3-a790-975f9883185c::87582775:87581009:11:1941:20260523,453746,1,8832,
FR:Line::a7820377-230e-419a-8573-9d4de08fc44f:,002584,OCESN453803R1187_R:CTE:FR:Line::a7820377-230e-419a-8573-9d4de08fc44f::87581009:87582775:2:710:20260516,453803,1,8833,
FR:Line::a7820377-230e-419a-8573-9d4de08fc44f:,002584,OCESN453804R1187_R:CTE:FR:Line::a7820377-230e-419a-8573-9d4de08fc44f::87582775:87581009:2:750:20260516,453804,0,8834,
OCESN-87581009-87582775,000078,OCESN453807R1187_R:CTE:OCESN-87581009-87582775:87581009:87582775:2:845:20260315,453807,1,8835,
FR:Line::a7820377-230e-419a-8573-9d4de08fc44f:,002588,OCESN453807R1187_R:CTE:FR:Line::a7820377-230e-419a-8573-9d4de08fc44f::87581009:87582775:2:845:20260525,453807,1,8836,
FR:Line::a7820377-230e-419a-8573-9d4de08fc44f:,001303,OCESN453809R1187_R:CTE:FR:Line::a7820377-230e-419a-8573-9d4de08fc44f::87581009:87586008:8:1339:20260320,453809,1,8837,
OCESN-87582775-87581009,000078,OCESN453810R1187_R:CTE:OCESN-87582775-87581009:87582775:87581009:2:1045:20260315,453810,0,8838,
FR:Line::a7820377-230e-419a-8573-9d4de08fc44f:,002589,OCESN453810R1187_R:CTE:FR:Line::a7820377-230e-419a-8573-9d4de08fc44f::87582775:87581009:2:1045:20260525,453810,0,8839,
