id_gare;nom_gare;trigramme;lat;lon;id_commune;nom_commune
87783266;Aumont-Aubrac;AAU;44.7181699; 3.2835489;48009;AUMONT-AUBRAC
87545657;Auneau;AUN;48.4458242; 1.77998;28317;ROINVILLE
87476200;Auray;ARY;47.68022; -2.999995;56007;AURAY
87726760;Aurec-sur-Loire;AEC;45.3711611; 4.1983439;43012;AUREC-SUR-LOIRE
87645002;Aurillac;AUC;44.921092; 2.435655;15014;AURILLAC
87611384;Auterive;AIE;43.348993; 1.468831;31033;AUTERIVE
87276543;Auvers-sur-Oise;AUW;49.07062; 2.17526;95039;AUVERS-SUR-OISE
87683573;Auxerre Saint-Gervais;AUX;47.797645; 3.58514;89024;AUXERRE
87713347;Auxonne;AXO;47.192663; 5.37737;21639;TILLENAY
87683789;Avallon;AVA;47.4957553; 3.9124463;89025;AVALLON
87171579;Avenay;AAY;49.0647826; 4.043689;51028;AVENAY-VAL-D'OR
87543207;Avenue du Président Kennedy Maison de Radio France;APK;48.853322; 2.279969;75116;PARIS-16E-ARRONDISSEMENT
87381038;Avenue Foch;AVF;48.870971; 2.2756167;75116;PARIS-16E-ARRONDISSEMENT
87381046;Avenue Henri Martin;AHM;48.8644077; 2.272238;75116;PARIS-16E-ARRONDISSEMENT
87295725;Avesnelles;AVS;50.1185513; 3.9485876;59035;AVESNELLES
87295733;Avesnes-sur-Helpe;AVN;50.12674; 3.93295;59036;AVESNES-SUR-HELPE
87765008;Avignon Centre;AVI;43.9419; 4.805281;84007;AVIGNON
"87981902;87318964";Avignon TGV;AVV;43.921586; 4.786079;84007;AVIGNON
87616011;Avignonet-Lauragais;AWG;43.3638769; 1.7872687;31037;AVIGNONET-LAURAGAIS
87342584;Avion;AON;50.40723; 2.83365;62065;AVION
87576439;Avord;ADG;47.0349061; 2.6523757;18018;AVORD
87718551;Avoudrey;AVO;47.1298359; 6.434573;25039;AVOUDREY
87448514;Avranches;AVR;48.6902445; -1.3700755;50025;AVRANCHES
87313296;Avrechy;AVY;49.4446439; 2.4179608;60034;AVRECHY
